merchant_id,gender,business_size_idx,daily_thrift_freq,cash_out_freq,avg_txn_value,account_age_months,repaid
MERCH_10047,F,1,3,2.17,5220.73,12,1
MERCH_10048,F,1,2,1.85,20551.71,27,0
MERCH_10049,F,2,3,1.74,3853.35,26,1
MERCH_10050,M,1,1,0.82,4636.17,25,0
MERCH_10051,M,2,2,0.95,3751.61,19,1
MERCH_10052,M,1,1,0.64,3449.46,27,0
MERCH_10053,M,0,2,1.05,1860.68,17,1
MERCH_10054,F,1,3,2.01,9773.01,6,0
MERCH_10055,M,0,8,5.04,2414.57,23,1
MERCH_10056,F,0,2,1.88,915.57,18,1
MERCH_10057,F,0,4,3.62,7871.85,2,1
MERCH_10058,F,1,0,0.0,11018.67,19,0
MERCH_10059,F,1,1,0.5,20089.27,4,0
MERCH_10060,F,0,3,2.12,2416.96,33,1
MERCH_10061,F,0,6,5.01,2018.51,34,1
MERCH_10062,M,0,3,1.26,3485.22,32,1
MERCH_10063,F,1,0,0.0,20586.98,18,0
MERCH_10064,F,0,1,0.42,9641.33,9,0
MERCH_10065,F,1,2,1.07,5453.39,3,0
MERCH_10066,F,0,7,3.15,5021.73,18,1
MERCH_10067,M,0,6,5.57,4593.35,25,1
MERCH_10068,F,0,1,0.49,2949.99,2,0
MERCH_10069,M,0,3,1.45,15113.36,1,0
MERCH_10070,M,2,3,2.8,6248.2,24,1
MERCH_10071,F,0,6,4.1,1869.44,24,1
MERCH_10072,F,0,5,4.08,4072.99,4,1
MERCH_10073,M,0,0,0.0,1200.39,35,1
MERCH_10074,M,0,6,4.16,4513.94,35,1
MERCH_10075,M,0,4,1.62,1684.53,12,1
MERCH_10076,M,0,6,3.75,1085.93,23,1
MERCH_10077,F,1,3,2.12,10209.73,22,1
MERCH_10078,F,1,2,1.37,6432.3,26,1
MERCH_10079,F,0,2,1.25,6601.56,4,0
MERCH_10080,M,0,5,4.17,2116.4,7,1
MERCH_10081,F,2,2,1.35,6551.05,23,1
MERCH_10082,F,0,7,5.25,7046.9,31,1
MERCH_10083,F,0,3,1.5,4070.08,7,1
MERCH_10084,F,0,6,5.24,3150.58,22,1
MERCH_10085,F,0,2,1.2,1710.06,19,1
MERCH_10086,M,1,2,1.33,1894.29,30,1
MERCH_10087,F,0,5,2.97,3194.53,26,1
MERCH_10088,M,1,2,1.78,2181.43,22,1
MERCH_10089,F,0,3,2.69,1652.31,9,1
MERCH_10090,F,0,4,2.09,1025.49,29,1
MERCH_10091,M,1,1,0.81,1892.8,32,0
MERCH_10092,M,0,3,1.37,3843.4,18,1
MERCH_10093,F,1,3,1.25,6646.7,31,0
MERCH_10094,M,0,4,3.44,565.17,32,0
MERCH_10095,F,1,3,1.42,4997.58,9,1
MERCH_10096,F,0,7,3.4,3963.68,30,1
MERCH_10097,F,2,1,0.73,233.89,32,0
MERCH_10098,F,0,5,4.25,2713.11,8,1
MERCH_10099,F,2,0,0.0,499.41,24,1
MERCH_10100,F,0,7,3.24,1884.26,4,0
MERCH_10101,F,1,0,0.0,9087.1,17,0
MERCH_10102,F,0,5,2.07,4217.07,21,1
MERCH_10103,F,2,0,0.0,12950.39,9,0
MERCH_10104,M,0,6,5.51,4489.03,5,1
MERCH_10105,F,0,4,1.81,3440.92,5,1
MERCH_10106,F,0,4,2.91,6637.5,30,1
MERCH_10107,M,0,4,3.63,3561.58,6,1
MERCH_10108,F,0,0,0.0,954.7,8,0
MERCH_10109,F,2,3,1.25,4051.34,33,1
MERCH_10110,F,2,2,1.46,2756.66,15,1
MERCH_10111,F,0,3,2.69,2195.06,9,1
MERCH_10112,M,2,2,1.15,5413.84,3,0
MERCH_10113,M,1,1,0.57,2706.34,31,1
MERCH_10114,F,0,4,2.15,1992.45,7,1
MERCH_10115,M,1,0,0.0,7745.28,16,0
MERCH_10116,M,1,3,1.59,6156.83,28,1
MERCH_10117,F,2,1,0.8,22562.47,35,0
MERCH_10118,M,0,4,3.02,308.06,15,0
MERCH_10119,F,1,0,0.0,5597.1,7,0
MERCH_10120,M,0,3,2.39,3951.34,35,1
MERCH_10121,M,0,3,1.36,2480.0,31,1
MERCH_10122,F,0,4,3.25,2100.18,8,1
MERCH_10123,F,2,0,0.0,2264.93,16,0
MERCH_10124,F,1,0,0.0,15299.5,34,1
MERCH_10125,F,1,6,2.61,2156.15,1,1
MERCH_10126,M,1,1,0.74,9992.1,19,0
MERCH_10127,M,0,6,4.03,2567.33,14,1
MERCH_10128,F,0,5,3.34,5842.94,19,0
MERCH_10129,F,0,3,1.73,1220.76,23,1
MERCH_10130,F,0,3,1.21,2779.57,4,1
MERCH_10131,F,1,1,0.63,3972.84,34,1
MERCH_10132,F,1,0,0.0,9196.91,2,0
MERCH_10133,F,0,3,1.9,1636.29,12,1
MERCH_10134,M,0,2,1.47,3145.12,23,0
MERCH_10135,F,0,4,2.26,2556.1,18,1
MERCH_10136,F,0,3,1.64,1144.24,32,1
MERCH_10137,M,2,1,0.67,3429.71,17,1
MERCH_10138,F,1,4,2.9,6143.42,31,1
MERCH_10139,M,1,0,0.0,19338.51,26,0
MERCH_10140,M,0,7,6.19,3486.87,12,1
MERCH_10141,F,0,7,5.76,1584.51,35,1
MERCH_10142,F,0,4,1.71,4773.58,16,1
MERCH_10143,F,2,0,0.0,9397.11,4,0
MERCH_10144,F,1,2,1.26,12317.22,28,0
MERCH_10145,F,0,5,2.99,1900.13,33,1
MERCH_10146,F,1,2,1.85,11581.14,10,1
MERCH_10147,F,0,7,4.56,3698.63,31,1
MERCH_10148,F,1,0,0.0,7515.52,14,0
MERCH_10149,F,2,0,0.0,4030.6,5,1
MERCH_10150,M,1,3,1.45,9136.06,10,0
MERCH_10151,F,1,1,0.43,10231.89,25,0
MERCH_10152,F,0,8,4.58,296.28,17,1
MERCH_10153,F,0,1,0.42,3212.53,20,1
MERCH_10154,M,0,3,1.39,4945.64,33,1
MERCH_10155,F,0,2,1.89,4229.66,9,0
MERCH_10156,M,1,3,2.78,3599.69,31,1
MERCH_10157,M,1,1,0.78,6410.07,5,0
MERCH_10158,F,0,5,4.07,605.13,29,0
MERCH_10159,M,1,0,0.0,10374.0,4,0
MERCH_10160,F,0,6,4.36,1896.04,31,1
MERCH_10161,F,0,6,2.91,6114.82,4,1
MERCH_10162,F,0,4,2.43,3407.93,18,0
MERCH_10163,F,0,3,1.77,1179.0,18,0
MERCH_10164,F,0,1,0.74,2986.85,34,1
MERCH_10165,M,0,6,2.66,952.18,14,1
MERCH_10166,F,0,4,1.83,1271.48,26,1
MERCH_10167,F,2,0,0.0,11398.59,23,1
MERCH_10168,F,0,2,1.5,777.01,33,1
MERCH_10169,F,0,5,2.93,4597.34,17,1
MERCH_10170,M,0,6,2.88,1964.84,32,1
MERCH_10171,F,1,1,0.89,5228.72,35,0
MERCH_10172,F,0,7,3.0,3077.14,30,0
MERCH_10173,F,1,2,1.59,1493.19,15,1
MERCH_10174,F,1,1,0.48,4923.5,7,0
MERCH_10175,F,1,2,1.5,4669.55,6,0
MERCH_10176,M,1,1,0.77,4802.5,9,1
MERCH_10177,F,0,4,3.37,6804.48,13,1
MERCH_10178,M,0,3,1.85,5292.58,18,0
MERCH_10179,F,0,3,1.24,2531.01,35,1
MERCH_10180,F,1,1,0.85,18284.65,1,1
MERCH_10181,F,0,8,5.15,984.72,24,1
MERCH_10182,M,0,3,2.6,1230.13,16,1
MERCH_10183,M,2,1,0.83,3403.91,18,1
MERCH_10184,F,0,6,4.04,5857.35,3,1
MERCH_10185,M,1,2,1.9,10945.36,8,0
MERCH_10186,M,1,1,0.65,7415.38,18,0
MERCH_10187,F,0,1,0.78,1155.87,29,1
MERCH_10188,F,0,2,1.54,2045.13,27,0
MERCH_10189,F,0,5,3.42,2245.66,29,1
MERCH_10190,F,1,0,0.0,6283.37,4,1
MERCH_10191,M,1,2,1.68,13567.52,12,0
MERCH_10192,M,1,4,2.86,16169.76,13,0
MERCH_10193,F,2,2,1.3,3304.32,14,0
MERCH_10194,F,1,1,0.76,9515.94,14,1
MERCH_10195,F,0,5,2.1,4973.58,10,1
MERCH_10196,M,0,4,1.84,672.35,22,1
MERCH_10197,M,1,1,0.47,2915.56,9,0
MERCH_10198,M,0,4,2.54,1084.68,24,1
MERCH_10199,M,0,9,7.92,1824.44,17,1
MERCH_10200,F,1,1,0.75,6881.46,24,1
MERCH_10201,F,0,5,4.67,1337.73,5,1
MERCH_10202,F,2,2,0.84,6068.69,34,1
MERCH_10203,M,1,0,0.0,13577.89,1,0
MERCH_10204,F,0,0,0.0,4932.37,27,1
MERCH_10205,F,2,0,0.0,12448.14,8,0
MERCH_10206,F,0,5,4.27,1258.38,6,1
MERCH_10207,M,0,4,1.96,3370.68,5,0
MERCH_10208,F,0,1,0.52,1894.83,18,1
MERCH_10209,F,0,2,1.17,721.28,7,1
MERCH_10210,F,0,5,4.17,1362.56,33,1
MERCH_10211,M,0,4,2.97,3700.67,34,1
MERCH_10212,M,0,5,2.73,3572.24,32,0
MERCH_10213,F,0,5,2.46,333.94,3,1
MERCH_10214,M,1,2,0.92,6476.8,1,0
MERCH_10215,F,1,1,0.48,7540.81,21,0
MERCH_10216,F,0,6,5.26,2251.69,13,0
MERCH_10217,M,0,6,5.44,8333.91,8,1
MERCH_10218,F,0,6,5.59,1170.08,30,1
MERCH_10219,M,0,4,3.44,2686.38,8,0
MERCH_10220,M,1,1,0.89,14868.55,27,1
MERCH_10221,F,1,4,3.4,2665.06,23,0
MERCH_10222,F,0,6,5.56,2274.72,8,1
MERCH_10223,F,0,2,1.73,4533.97,15,0
MERCH_10224,F,0,10,6.54,1852.8,7,1
MERCH_10225,F,1,2,1.16,8225.5,12,1
MERCH_10226,M,0,4,2.89,1573.18,30,1
MERCH_10227,F,2,3,2.2,8821.09,10,1
MERCH_10228,M,1,2,1.43,6680.5,19,0
MERCH_10229,F,0,7,5.52,1323.96,18,1
MERCH_10230,M,1,0,0.0,4591.26,20,0
MERCH_10231,F,2,1,0.45,5067.79,2,0
MERCH_10232,F,1,2,1.11,12214.11,30,1
MERCH_10233,F,0,4,3.56,2838.14,11,1
MERCH_10234,F,0,5,3.62,3309.77,22,1
MERCH_10235,M,1,4,2.32,5374.35,19,1
MERCH_10236,F,1,1,0.87,851.0,3,1
MERCH_10237,F,1,0,0.0,8680.12,4,1
MERCH_10238,F,2,1,0.63,9286.07,35,0
MERCH_10239,F,2,0,0.0,3947.28,9,0
MERCH_10240,M,2,1,0.88,4614.95,8,0
MERCH_10241,M,0,6,4.8,152.7,34,1
MERCH_10242,M,1,2,1.31,4634.16,31,1
MERCH_10243,F,1,0,0.0,6770.68,19,1
MERCH_10244,F,1,1,0.91,4985.39,32,0
MERCH_10245,M,1,1,0.79,4123.93,28,1
MERCH_10246,F,0,5,4.45,1899.59,18,1
MERCH_10247,M,1,1,0.8,6318.07,25,0
MERCH_10248,M,1,2,1.49,9731.2,10,0
MERCH_10249,M,0,5,3.16,2496.93,5,0
MERCH_10250,F,0,2,1.1,911.08,15,1
MERCH_10251,F,0,2,0.87,1893.59,25,1
MERCH_10252,M,0,5,4.2,565.21,20,0
MERCH_10253,F,0,7,3.27,3093.18,10,1
MERCH_10254,F,0,6,3.75,4430.26,28,1
MERCH_10255,F,1,0,0.0,7570.64,6,0
MERCH_10256,M,1,1,0.65,7012.23,11,1
MERCH_10257,M,1,1,0.57,19198.31,19,0
MERCH_10258,F,1,1,0.86,15069.22,16,0
MERCH_10259,F,0,1,0.94,3535.88,32,0
MERCH_10260,F,0,9,8.26,1957.79,2,1
MERCH_10261,M,2,1,0.74,2004.75,26,0
MERCH_10262,F,0,7,6.57,4581.91,21,1
MERCH_10263,F,2,1,0.62,10771.46,15,1
MERCH_10264,M,1,0,0.0,25499.13,13,0
MERCH_10265,M,1,3,1.62,12321.56,7,1
MERCH_10266,M,2,2,1.79,3441.97,3,0
MERCH_10267,M,0,7,3.49,2437.15,15,1
MERCH_10268,F,0,8,5.89,2485.97,20,1
MERCH_10269,F,1,2,1.68,3959.32,3,1
MERCH_10270,M,0,0,0.0,4502.06,27,1
MERCH_10271,M,2,3,1.33,10292.36,15,0
MERCH_10272,M,0,2,1.47,2367.91,3,1
MERCH_10273,M,1,0,0.0,9310.73,28,0
MERCH_10274,F,1,2,1.01,10318.29,1,0
MERCH_10275,F,1,0,0.0,37794.77,20,0
MERCH_10276,M,0,3,2.65,1546.04,11,1
MERCH_10277,F,0,7,6.6,1037.03,25,1
MERCH_10278,M,1,1,0.63,1605.32,4,1
MERCH_10279,M,0,3,1.24,1102.25,19,1
MERCH_10280,M,1,3,1.89,1445.11,28,1
MERCH_10281,F,1,1,0.76,20190.71,10,0
MERCH_10282,F,1,0,0.0,10815.68,21,0
MERCH_10283,F,1,1,0.92,11914.01,16,1
MERCH_10284,F,0,1,0.9,5593.99,33,1
MERCH_10285,F,1,2,1.52,10176.93,13,1
MERCH_10286,F,2,1,0.78,20805.72,29,0
MERCH_10287,F,0,5,2.01,5925.84,4,1
MERCH_10288,F,2,1,0.6,11675.2,27,0
MERCH_10289,F,0,3,2.7,7870.69,8,0
MERCH_10290,F,0,6,4.68,4377.03,8,1
MERCH_10291,F,0,1,0.66,2673.42,25,0
MERCH_10292,M,2,1,0.46,15177.71,26,1
MERCH_10293,F,0,1,0.54,2583.57,1,0
MERCH_10294,F,2,0,0.0,8981.53,33,1
MERCH_10295,F,2,1,0.89,6674.18,19,1
MERCH_10296,M,0,4,1.81,3138.66,20,1
MERCH_10297,F,0,2,0.97,3904.82,18,0
MERCH_10298,F,1,3,2.28,2124.98,26,1
MERCH_10299,F,0,6,3.37,3818.17,9,1
MERCH_10300,F,1,1,0.49,12222.18,27,1
MERCH_10301,F,0,1,0.5,1857.89,6,0
MERCH_10302,F,0,7,4.7,2328.45,20,1
MERCH_10303,F,1,1,0.72,6779.62,1,0
MERCH_10304,M,0,6,5.38,4533.75,16,1
MERCH_10305,M,0,0,0.0,4470.04,4,0
MERCH_10306,F,0,7,5.46,3147.26,3,1
MERCH_10307,F,0,5,2.5,10062.69,22,1
MERCH_10308,M,1,1,0.79,2494.72,9,0
MERCH_10309,F,1,3,2.27,4171.75,8,1
MERCH_10310,F,0,7,3.63,3584.5,7,0
MERCH_10311,F,1,1,0.77,2163.7,12,1
MERCH_10312,F,1,2,1.03,18921.89,1,0
MERCH_10313,M,0,7,5.09,2044.06,12,1
MERCH_10314,M,0,5,3.84,6698.95,16,1
MERCH_10315,M,2,3,2.34,12205.83,14,0
MERCH_10316,F,1,1,0.9,16033.25,30,0
MERCH_10317,F,1,1,0.92,7147.62,19,0
MERCH_10318,F,1,0,0.0,15960.74,19,0
MERCH_10319,F,0,1,0.88,6336.12,13,0
MERCH_10320,F,1,1,0.41,6179.97,10,1
MERCH_10321,M,1,2,1.2,9439.46,29,1
MERCH_10322,M,1,2,0.84,9498.45,28,0
MERCH_10323,F,0,5,2.62,1593.09,13,1
MERCH_10324,M,0,7,4.27,2995.7,15,1
MERCH_10325,M,0,2,1.75,2830.9,17,1
MERCH_10326,F,2,4,2.73,14219.75,23,0
MERCH_10327,F,0,2,1.51,2965.89,10,0
MERCH_10328,F,0,1,0.6,5133.55,14,1
MERCH_10329,F,0,5,3.66,8025.72,32,1
MERCH_10330,F,0,6,5.09,2102.28,34,1
MERCH_10331,M,1,3,1.7,9001.93,31,1
MERCH_10332,F,1,1,0.91,5431.37,32,0
MERCH_10333,F,1,2,1.03,4460.87,16,1
MERCH_10334,F,0,5,4.53,2339.44,26,1
MERCH_10335,F,1,3,1.25,21436.71,17,0
MERCH_10336,M,0,4,2.79,4171.44,22,1
MERCH_10337,M,0,6,5.65,4313.21,35,1
MERCH_10338,F,0,3,2.21,3901.58,23,1
MERCH_10339,F,0,5,3.53,1574.37,25,1
MERCH_10340,F,0,6,4.65,1432.55,5,1
MERCH_10341,F,1,1,0.56,4856.95,6,1
MERCH_10342,F,1,3,1.29,813.18,26,0
MERCH_10343,F,1,1,0.54,13183.0,6,0
MERCH_10344,F,0,3,1.49,5765.47,19,1
MERCH_10345,F,0,5,4.54,6080.3,19,1
MERCH_10346,F,0,7,6.08,2057.64,31,1
MERCH_10347,F,2,0,0.0,11188.58,23,0
MERCH_10348,F,1,2,1.72,10968.0,12,0
MERCH_10349,F,1,2,1.03,6136.76,13,0
MERCH_10350,F,0,2,1.02,2288.3,22,0
MERCH_10351,M,1,1,0.82,6382.2,3,0
MERCH_10352,M,0,2,1.16,5275.91,12,1
MERCH_10353,F,1,2,0.87,1885.73,31,1
MERCH_10354,F,2,0,0.0,532.57,13,0
MERCH_10355,F,2,3,2.83,13783.53,23,1
MERCH_10356,F,1,1,0.71,10683.47,13,1
MERCH_10357,F,0,4,2.18,3054.87,6,0
MERCH_10358,M,2,1,0.61,29373.52,3,0
MERCH_10359,F,1,0,0.0,10813.82,7,0
MERCH_10360,F,0,7,5.5,2710.46,10,1
MERCH_10361,F,0,7,6.21,5276.3,31,1
MERCH_10362,F,0,4,3.6,1512.18,4,0
MERCH_10363,F,0,9,7.86,3428.03,6,1
MERCH_10364,M,0,6,4.54,2592.73,18,1
MERCH_10365,F,1,1,0.65,14547.26,7,0
MERCH_10366,M,0,2,1.55,380.11,34,1
MERCH_10367,M,0,4,3.07,5103.69,23,1
MERCH_10368,F,1,3,1.56,1133.67,8,1
MERCH_10369,F,1,2,1.36,19834.03,24,0
MERCH_10370,F,1,1,0.51,6475.08,28,0
MERCH_10371,F,0,4,3.58,1995.95,3,0
MERCH_10372,F,2,0,0.0,8452.41,13,1
MERCH_10373,M,2,4,3.37,7469.4,33,1
MERCH_10374,F,0,6,3.64,2518.81,16,1
MERCH_10375,F,0,4,3.28,7821.44,11,1
MERCH_10376,M,1,3,1.56,13358.72,29,1
MERCH_10377,F,1,2,1.64,2697.08,25,1
MERCH_10378,M,2,1,0.5,4456.0,17,1
MERCH_10379,F,2,0,0.0,6954.65,6,0
MERCH_10380,F,1,0,0.0,15745.11,14,1
MERCH_10381,M,1,3,2.07,3926.48,19,0
MERCH_10382,F,0,5,4.26,1787.63,12,1
MERCH_10383,M,0,5,4.08,2768.93,19,0
MERCH_10384,M,0,4,1.71,688.6,21,1
MERCH_10385,M,1,2,1.34,2254.93,29,0
MERCH_10386,F,1,0,0.0,5483.93,28,1
MERCH_10387,F,1,2,1.52,18157.59,17,1
MERCH_10388,M,0,3,1.3,835.95,2,0
MERCH_10389,M,1,3,1.74,2110.7,6,1
MERCH_10390,M,0,3,2.12,4360.38,25,0
MERCH_10391,F,0,5,2.47,5327.5,19,1
MERCH_10392,F,1,2,1.55,6516.53,6,0
MERCH_10393,M,1,2,1.5,9213.52,1,0
MERCH_10394,F,2,1,0.51,3353.77,34,0
MERCH_10395,M,0,2,1.41,3600.63,21,0
MERCH_10396,M,0,4,3.39,501.07,21,1
MERCH_10397,F,0,4,2.42,2964.97,27,1
MERCH_10398,M,0,8,4.29,2059.46,23,1
MERCH_10399,M,2,0,0.0,13745.9,32,0
MERCH_10400,F,1,1,0.44,10026.69,17,0
MERCH_10401,M,2,1,0.86,13822.81,14,0
MERCH_10402,F,0,2,1.84,909.83,22,1
MERCH_10403,M,2,1,0.93,5431.62,17,1
MERCH_10404,F,0,6,3.83,3433.52,29,1
MERCH_10405,M,2,0,0.0,6243.45,26,0
MERCH_10406,F,0,4,3.49,1268.14,31,1
MERCH_10407,F,0,1,0.52,5800.02,34,1
MERCH_10408,M,1,2,0.83,12858.79,27,0
MERCH_10409,F,2,3,1.83,8532.76,17,1
MERCH_10410,F,0,3,2.66,2812.11,23,1
MERCH_10411,M,0,1,0.68,4153.75,34,0
MERCH_10412,M,2,0,0.0,3306.37,18,0
MERCH_10413,F,0,5,3.9,10898.63,21,1
MERCH_10414,F,0,4,2.86,1667.95,20,1
MERCH_10415,F,0,2,0.86,4704.0,32,1
MERCH_10416,F,0,8,5.67,4354.37,12,1
MERCH_10417,F,2,3,2.27,2416.42,4,1
MERCH_10418,M,1,3,2.26,4534.81,9,1
MERCH_10419,M,1,1,0.8,7715.5,11,0
MERCH_10420,M,2,3,2.06,5289.56,30,1
MERCH_10421,M,0,2,1.79,4880.94,26,1
MERCH_10422,F,0,6,3.93,2629.77,32,1
MERCH_10423,F,0,4,2.74,1819.72,28,1
MERCH_10424,F,0,3,2.49,2238.64,16,1
MERCH_10425,F,0,8,6.87,3449.07,8,1
MERCH_10426,F,2,1,0.76,13901.81,3,0
MERCH_10427,M,1,3,1.41,10173.05,3,1
MERCH_10428,F,0,2,1.17,4560.16,10,1
MERCH_10429,F,1,1,0.41,9319.32,12,0
MERCH_10430,F,1,2,1.12,9384.35,15,1
MERCH_10431,M,2,0,0.0,4038.85,27,0
MERCH_10432,F,2,4,3.37,13433.76,11,1
MERCH_10433,F,1,0,0.0,1197.71,6,0
MERCH_10434,F,1,1,0.42,5822.0,12,0
MERCH_10435,M,1,3,1.63,2866.99,18,1
MERCH_10436,F,1,1,0.72,11010.57,25,1
MERCH_10437,M,0,4,3.16,3053.42,34,1
MERCH_10438,M,0,3,2.63,2469.18,26,1
MERCH_10439,F,1,4,3.73,20110.51,24,0
MERCH_10440,F,0,2,1.78,2130.39,16,1
MERCH_10441,M,0,7,4.6,2081.15,21,1
MERCH_10442,F,1,2,1.62,4229.45,30,0
MERCH_10443,F,0,3,1.6,4819.31,20,1
MERCH_10444,M,1,3,1.31,10928.46,19,1
MERCH_10445,M,1,0,0.0,13420.63,11,0
MERCH_10446,M,2,1,0.53,15006.91,14,1
MERCH_10447,M,0,3,1.26,5342.77,16,0
MERCH_10448,F,0,3,2.6,9070.34,3,0
MERCH_10449,F,1,1,0.67,23137.44,22,0
MERCH_10450,M,1,3,2.54,12226.02,5,0
MERCH_10451,F,2,2,1.83,4041.05,2,0
MERCH_10452,F,0,11,10.41,3804.17,12,1
MERCH_10453,M,0,3,2.75,2932.83,2,1
MERCH_10454,F,2,1,0.79,807.44,19,0
MERCH_10455,F,0,6,3.86,4570.21,24,1
MERCH_10456,F,1,6,4.37,8392.32,5,1
MERCH_10457,F,0,5,4.25,2804.14,26,1
MERCH_10458,F,0,3,2.68,1270.35,28,0
MERCH_10459,F,0,3,2.78,4761.89,35,1
MERCH_10460,F,0,3,2.41,1089.77,19,1
MERCH_10461,F,1,1,0.7,6898.29,31,0
MERCH_10462,M,2,3,2.8,4577.88,19,1
MERCH_10463,F,0,2,1.85,1560.02,19,0
MERCH_10464,M,1,2,1.33,13876.63,20,0
MERCH_10465,F,0,8,6.05,2255.51,17,1
MERCH_10466,F,1,1,0.85,7417.53,12,0
MERCH_10467,M,0,2,1.28,6362.03,35,0
MERCH_10468,F,2,3,2.57,18520.64,26,0
MERCH_10469,M,1,0,0.0,6742.26,8,0
MERCH_10470,F,1,2,1.33,11242.3,25,0
MERCH_10471,M,1,2,1.33,13190.85,25,0
MERCH_10472,F,1,3,2.33,4728.63,22,1
MERCH_10473,M,2,1,0.46,1590.9,13,0
MERCH_10474,F,1,4,1.83,16309.97,15,1
MERCH_10475,M,2,3,2.69,5933.21,23,1
MERCH_10476,F,1,3,1.7,7967.92,28,0
MERCH_10477,F,0,7,4.06,1521.25,13,1
MERCH_10478,M,1,2,1.65,16162.27,32,0
MERCH_10479,F,0,0,0.0,3251.89,11,1
MERCH_10480,F,1,1,0.86,7041.94,14,1
MERCH_10481,M,0,7,4.35,2609.98,35,1
MERCH_10482,F,1,1,0.82,19553.32,35,0
MERCH_10483,F,0,7,4.82,2501.14,23,1
MERCH_10484,F,0,4,3.66,4481.62,13,1
MERCH_10485,M,0,7,4.06,529.61,6,1
MERCH_10486,F,2,0,0.0,9823.31,29,0
MERCH_10487,F,0,3,2.8,2520.95,15,1
MERCH_10488,M,0,1,0.81,1153.92,5,0
MERCH_10489,M,1,3,2.47,30445.01,33,0
MERCH_10490,F,1,0,0.0,2815.57,2,0
MERCH_10491,F,0,7,4.85,1825.15,33,1
MERCH_10492,F,0,2,1.14,1920.22,25,0
MERCH_10493,F,0,3,1.63,6174.13,27,1
MERCH_10494,F,2,8,5.56,5789.09,25,1
MERCH_10495,F,0,4,3.77,2772.51,5,1
MERCH_10496,F,0,6,3.11,2069.16,4,1
MERCH_10497,F,0,6,3.2,3147.11,14,1
MERCH_10498,M,0,2,1.07,3501.37,17,0
MERCH_10499,M,1,1,0.84,10503.32,27,0
MERCH_10500,M,0,5,3.4,2198.79,34,1
MERCH_10501,F,0,2,1.22,4793.94,10,1
MERCH_10502,F,0,2,1.73,1894.09,22,1
MERCH_10503,M,0,7,3.95,1796.23,22,1
MERCH_10504,M,0,5,3.08,2746.35,28,1
MERCH_10505,F,1,5,2.2,9987.57,20,1
MERCH_10506,M,1,2,0.93,6479.84,2,0
MERCH_10507,M,2,1,0.48,7611.59,23,0
MERCH_10508,M,2,1,0.59,9401.32,34,1
MERCH_10509,M,1,2,1.38,6401.68,16,0
MERCH_10510,F,0,4,1.6,4364.86,28,1
MERCH_10511,F,1,0,0.0,16649.35,14,0
MERCH_10512,M,1,0,0.0,2700.95,1,1
MERCH_10513,M,1,3,1.62,7157.6,15,0
MERCH_10514,F,1,2,0.98,8390.29,15,1
